scenario,year,status,model_technology,date_known,mean_mw,p10_mw,p25_mw,p50_mw,p75_mw,p90_mw
low,2027,announced,hydropower,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2027,announced,offshore wind,known,239.211,0.0,0.0,0.0,250.0,623.0000000000007
low,2027,announced,offshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2027,announced,onshore wind,known,1166.8646,365.70000000000005,563.5250000000001,890.3,1321.55,1931.0500000000002
low,2027,announced,onshore wind,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2027,announced,utility-scale solar,known,11986.3333,8439.51,9967.074999999999,11777.75,13821.375,15866.58
low,2027,announced,utility-scale solar,unknown,0.0,0.0,0.0,0.0,0.0,0.0
low,2027,construction,hydropower,known,7541.948,3482.2000000000003,5149.5,7315.0,9846.75,11968.3
low,2027,construction,hydropower,unknown,118.632,0.0,0.0,0.0,0.0,240.0
low,2027,construction,offshore wind,known,8136.794,5419.0,6736.5,8008.0,9639.75,10905.4
low,2027,construction,offshore wind,unknown,10068.3385,4409.3,6534.375,9508.0,13126.25,16524.1
low,2027,construction,onshore wind,known,27683.9532,22547.59,24745.075,27755.7,30324.425,33055.670000000006
low,2027,construction,onshore wind,unknown,98301.3523,82240.82,91013.775,99032.29999999999,106200.15,112756.34
low,2027,construction,utility-scale solar,known,53620.805799999995,47126.97,50452.3,53719.45,56740.875,59807.14
low,2027,construction,utility-scale solar,unknown,173622.95419999998,162699.13,168130.02500000002,174083.95,179599.975,184283.07
low,2027,pre-construction,hydropower,known,204.2,0.0,0.0,100.0,270.0,724.1
