Parameter,State,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Small-Hydro - Generation (in MU),Jharkhand,2.68,0.06,,,,,,0.85,0.15,,0.02,1.08,1.47,1.33,1.36,1.26,0.01,,0.41,2.79,2.74,2.52,2.51,2.31
Bio Power - Generation (in MU),Jharkhand,,,,,,,,,,,,,,,,,,,,,,,,
Coal - Generation (in MU),Karnataka,4222.98,3950.43,4339.78,4486.42,3931.04,3804.75,3462.49,3053.79,2543.33,3152.81,2998.76,3838.15,4175.14,4111.44,4809.81,4250.08,3452.04,2188.49,2840.94,2434.82,2948.08,3360.37,3704.42,4213.68
Oil & Gas - Generation (in MU),Karnataka,,,,,,,,,,,,,91.99,108.68,113.7,171.46,42.61,,,,68.6,,,59.48
Nuclear - Generation (in MU),Karnataka,625.68,636.31,677.76,648.14,660.69,629.27,675.55,671.44,605.75,638.17,643.51,531.97,495.09,500.62,657.82,500.66,517.54,388.04,346.22,516.2,501.6,516.92,502.71,521.65
Hydro - Generation (in MU),Karnataka,485.28,580.4,644.66,680.49,444.68,569.11,1152.68,1647.23,1621.24,1420.05,1211.82,1246.36,1349.12,1295.92,1417.3,1247.36,1114.36,1148.06,1677.2,1598.92,1588.32,1267.55,1185.96,1233.42
Solar - Generation (in MU),Karnataka,1314.57,1464.92,1505.44,1436.88,1385.87,1173.58,1006.3,1148.76,1216.2,1402.96,1258.45,1084.01,1533.9380812065847,1576.557624480981,1730.6090881434243,1653.5135047789854,1477.9835819713096,1299.7717882657164,1247.6315122207639,1274.525919719637,1852.0754863659547,1397.317700625681,1436.1316092960865,2168.4836639325777
Wind - Generation (in MU),Karnataka,633.18,591.26,509.54,505.76,1064.66,1525.52,2849.14,1490.24,1608.47,394.08,808.55,783.12,1085.67,792.97,712.16,844.7,1502.32,2384.62,3494.43,1962.87,1630.75,1174.35,973.69,1202.53
Small-Hydro - Generation (in MU),Karnataka,32.14,19.61,21.9,8.31,35.37,88.67,305.98,413.8,381.7,368.32,232.49,159.27,97.4,85.31,82.86,63.73,109.09,294.02,467.49,480.01,428.75,365.85,239.63,143.27
Bio Power - Generation (in MU),Karnataka,516.02,375.95,227.94,120.14,67.31,64.81,42.58,67.71,65.49,88.85,335.2,510.41,580.5,366.15,197.25,94.06,88.91,42.37,945.11,62.26,55.41,57.22,333.14,555.95
Total,Himachal Pradesh,1313.59,1272.71,1737.41,2172.64,5145.62,5982.79,6703.35,6491.89,5530.53,3144.83,1815.73,1530.68,1225.48,1089.87,1682.74,2814.55,5214.65,6283.72,6516.35,6798.91,5905.91,3720.07,2116.33,1834.21
Total,Jammu and Kashmir,353.58,526.43,1128.93,1500.23,2080.42,2229.58,2265.35,2151.02,1859.6,918.63,522.12,404.76,344.78,327.43,991.89,1702.4,2078.56,2212.21,2239.09,1900.58,1881.65,1222.23,635.0,425.92
Total,Jharkhand,3263.77,3013.36,3254.72,3480.66,3652.67,3363.29,3506.67,3227.38,2962.64,3363.61,3177.43,2985.93,3230.48,3058.6,3095.87,2953.21,2921.0,2966.39,3215.53,3306.39,3328.64,3395.89,3465.51,3874.68
Total,Karnataka,7829.85,7618.88,7927.02,7886.14,7589.62,7855.71,9494.72,8492.97,8042.18,7465.24,7488.78,8153.29,9330.9,8755.68,9626.94,8714.61,8192.56,7637.09,10910.14,8217.45,8944.38,8016.08,8248.59,9966.02
Coal - Generation (in MU),Kerala,,,,,,,,,,,,,,,,,,,,,,,,
Oil & Gas - Generation (in MU),Kerala,,,,,,,,,,,,,,,,,,,,,,,,
Hydro - Generation (in MU),Kerala,395.39,402.37,462.52,539.28,513.8,670.83,778.9,872.87,711.75,502.53,454.58,373.01,411.7,428.51,476.23,464.72,744.69,1134.68,1232.8,1123.94,898.44,869.77,580.37,576.12
Solar - Generation (in MU),Kerala,106.68,119.59,128.78,181.93,124.19,148.2,95.7,105.51,133.74,143.88,134.26,139.16,268.1547052457365,297.1934947404988,336.1796074370195,386.26450717277885,400.27615567370617,373.3402285543049,347.84034843044054,361.5853950700906,451.7077088526478,436.6079282451343,447.6117156501518,457.3150082401363
